,lemma,pos,token,annotation
0,THE,DT,THE,O
1,OLD,NNP,OLD,O
2,NURSE,NNP,NURSE,O
3,'S,POS,'S,O
4,STORY,NNP,STORY,O
5,Elizabeth,NNP,Elizabeth,O
6,Gaskell,NNP,Gaskell,O
7,You,PRP,You,O
8,know,VBP,know,O
9,",",",",",",O
10,my,PRP$,my,O
11,dear,NN,dears,O
12,",",",",",",O
13,that,IN,that,O
14,your,PRP$,your,O
15,mother,NN,mother,O
16,wa,VBD,was,O
17,an,DT,an,O
18,orphan,NN,orphan,O
19,",",",",",",O
20,and,CC,and,O
21,an,DT,an,O
22,only,JJ,only,O
23,child,NN,child,O
24,;,:,;,O
25,and,CC,and,O
26,I,PRP,I,O
27,daresay,VBP,daresay,O
28,you,PRP,you,O
29,have,VBP,have,O
30,heard,VBN,heard,O
31,that,IN,that,O
32,your,PRP$,your,O
33,grandfather,NN,grandfather,O
34,wa,VBD,was,O
35,a,DT,a,O
36,clergyman,NN,clergyman,O
37,up,RP,up,O
38,in,IN,in,O
39,Westmoreland,NNP,Westmoreland,O
40,",",",",",",O
41,where,WRB,where,O
42,I,PRP,I,O
43,come,VBP,come,O
44,from,IN,from,O
45,.,.,.,O
46,I,PRP,I,O
47,wa,VBP,was,O
48,just,RB,just,O
49,a,DT,a,O
50,girl,NN,girl,O
51,in,IN,in,O
52,the,DT,the,O
53,village,NN,village,O
54,school,NN,school,O
55,",",",",",",O
56,when,WRB,when,O
57,",",",",",",O
58,one,CD,one,O
59,day,NN,day,O
60,",",",",",",O
61,your,PRP$,your,O
62,grandmother,NN,grandmother,O
63,came,VBD,came,O
64,in,IN,in,O
65,to,TO,to,O
66,ask,VB,ask,O
67,the,DT,the,O
68,mistress,NN,mistress,O
69,if,IN,if,O
70,there,EX,there,O
71,wa,VBP,was,O
72,any,DT,any,O
73,scholar,NN,scholar,O
74,there,EX,there,O
75,who,WP,who,O
76,would,MD,would,O
77,do,VB,do,O
78,for,IN,for,O
79,a,DT,a,O
80,nurse-maid,JJ,nurse-maid,O
81,;,:,;,O
82,and,CC,and,O
83,mighty,VB,mighty,O
84,proud,JJ,proud,O
85,I,PRP,I,O
86,wa,VBP,was,O
87,",",",",",",O
88,I,PRP,I,O
89,can,MD,can,O
90,tell,VB,tell,O
91,ye,RB,ye,O
92,",",",",",",O
93,when,WRB,when,O
94,the,DT,the,O
95,mistress,NN,mistress,O
